SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
UGA_1370134933284|32.0228406409|1.22785621462|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1370134933284/|0.0
UGA_1370135810857|31.7371961097|0.843398263667|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1370135810857/|0.0
UGA_1370135950490|31.7371961097|0.843398263667|ccafs|[current,current]|[tmean,prec]|[0.7,0.3]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1370135950490/|0.05
SOM_1370136054947|45.0471326331|3.32995581466|ccafs|[current,current]|[tmean,prec]|[0.2,0.8]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[som,som]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/SOM_1370136054947/|0.35
TZA_1370137713510|34.3691437981|-5.61906721562|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[tza,tza]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/TZA_1370137713510/|0.0
GHA_1370138378076|-1.50832464644|8.10200325497|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1370138378076/|0.0

COL_1370179794476|-76.5288498494|3.41615134105|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1370179794476/|0.0
COL_1370181267617|-75.4961350056|8.83220735572|ccafs|[current,current]|[tmean,prec]|[0.7,0.3]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1370181267617/|0.05
NPL_1370181645663|85.3196659006|27.7800499208|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[npl,npl]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/NPL_1370181645663/|0.0
