ISO,COUNTRY,XMIN,XMAX,YMIN,YMAX,DX,DY,NCOLS,NROWS,NTILES,NCOLS_TILES,NROWS_TILES
afg,Afghanistan,60.50486751,74.89653493,29.36157232,38.49490613,0.008333334,0.008333334,1727,1096,9,3,3
ala,Aland Islands,19.31769944,21.32603288,59.74792132,60.6562547,0.008333334,0.008333334,241,109,1,1,1
alb,Albania,19.27553544,21.05053553,39.64588527,42.65421876,0.008333334,0.008333334,213,361,1,1,1
dza,Algeria,-8.673868521,11.97613256,18.96002937,37.09336364,0.008333334,0.008333334,2478,2176,25,5,5
and,Andorra,1.420740495,1.795740515,42.43029038,42.65529039,0.008333334,0.008333334,45,27,1,1,1
ago,Angola,11.67922058,24.07922123,-18.04207971,-4.375412333,0.008333334,0.008333334,1488,1640,9,3,3
atg,Antigua and Barbuda,-62.34902958,-61.65736288,16.93152827,17.73152832,0.008333334,0.008333334,83,96,1,1,1
arg,Argentina,-73.57778154,-53.59444716,-55.06131377,-21.7779787,0.00833333,0.00833333,2398,3994,36,6,6
arm,Armenia,43.44977951,46.63311301,38.8305203,41.30552043,0.008333334,0.008333334,382,297,1,1,1
aus,Australia,112.9110566,159.111059,-54.77828968,-9.219953975,0.008333334,0.008333334,5544,5467,100,10,10
aut,Austria,9.531587591,17.16492132,46.37481739,49.01648419,0.008333334,0.008333334,916,317,1,1,1
aze,Azerbaijan,44.77258258,50.60591622,38.39700741,41.90534093,0.008333334,0.008333334,700,421,1,1,1
bhr,Bahrain,50.38584858,50.75251526,25.74846433,26.28179769,0.008333334,0.008333334,44,64,1,1,1
bgd,Bangladesh,88.0105665,92.66890008,20.57500024,26.63333389,0.008333334,0.008333334,559,727,4,2,2
brb,Barbados,-59.6506956,-59.41736225,13.04458338,13.33625006,0.008333334,0.008333334,28,35,1,1,1
blr,Belarus,23.19234846,32.79234896,51.26956935,56.16956961,0.008333334,0.008333334,1152,588,4,2,2
bel,Belgium,2.557091427,6.398758294,49.49945043,51.50778387,0.008333334,0.008333334,461,241,1,1,1
blz,Belize,-89.22417453,-87.48250778,15.89257641,18.49257654,0.008333334,0.008333334,209,312,1,1,1
ben,Benin,0.774574543,3.849574703,6.225748363,12.41741535,0.008333334,0.008333334,369,743,1,1,1
bmu,Bermuda,-64.88777964,-64.64611296,32.2466663,32.38833298,0.008333334,0.008333334,29,17,1,1,1
btn,Bhutan,88.75101456,92.1176814,26.69908726,28.32408735,0.008333334,0.008333334,404,195,1,1,1
bol,Bolivia,-69.6403506,-57.45701663,-22.89338872,-9.67672136,0.008333334,0.008333334,1462,1586,9,3,3
bih,Bosnia-Herzegovina,15.72738445,19.61071798,42.5652044,45.27353788,0.008333334,0.008333334,466,325,1,1,1
bwa,Botswana,19.99953056,29.35786438,-26.90724964,-17.78224916,0.008333334,0.008333334,1123,1095,4,2,2
bra,Brazil,-73.98522164,-29.30188598,-33.74793665,5.268732047,0.008333334,0.008333334,5362,4682,81,9,9
brn,Brunei,114.1276626,115.3776627,4.022200343,5.047200397,0.008333334,0.008333334,150,123,1,1,1
bgr,Bulgaria,22.34355747,28.61022446,41.23557633,44.21890982,0.008333334,0.008333334,752,358,1,1,1
bfa,Burkina Faso,-5.518916565,2.406083849,9.40110737,15.084441,0.008333334,0.008333334,951,682,4,2,2
bdi,Burundi,28.99306146,30.85139489,-4.465712676,-2.307379231,0.008333334,0.008333334,223,259,1,1,1
khm,Cambodia,102.3355026,107.6271696,9.913610273,14.68861052,0.008333334,0.008333334,635,573,4,2,2
cmr,Cameroon,8.494763453,16.19476385,1.652548266,13.07754886,0.008333334,0.008333334,924,1371,4,2,2
can,Canada,-141.0068666,-52.66519533,41.67692527,83.1185941,0.008333334,0.008333334,10601,4973,169,13,13
cpv,Cape Verde,-25.36180458,-22.6534711,14.80180532,17.20180544,0.008333334,0.008333334,325,288,1,1,1
caf,Central African Republic,14.42010053,27.46176787,2.220514356,11.00384815,0.008333334,0.008333334,1565,1054,9,3,3
tcd,Chad,13.47348046,24.00681434,7.441068365,23.44940253,0.008333334,0.008333334,1264,1921,9,3,3
chl,Chile,-109.4549866,-66.4133177,-55.9840298,-17.50902779,0.008333334,0.008333334,5165,4617,81,9,9
chn,China,73.55770153,134.7743714,18.15930926,53.5593111,0.008333334,0.008333334,7346,4248,100,10,10
col,Colombia,-81.72362563,-66.87362485,-4.230483642,13.38618394,0.008333334,0.008333334,1782,2114,16,4,4
com,Comoros,43.22874859,44.537082,-12.42263876,-11.36430537,0.008333334,0.008333334,157,127,1,1,1
cri,Costa Rica,-85.95062261,-82.55895577,8.032975283,11.21630878,0.008333334,0.008333334,407,382,1,1,1
hrv,Croatia,13.48958347,19.43125045,42.1034734,46.55347363,0.008333334,0.008333334,713,534,4,2,2
cub,Cuba,-84.95603957,-74.131039,19.83131834,23.28131852,0.008333334,0.008333334,1299,414,4,2,2
